feature,importance
pm25_lag1,0.8058175610507998
pm25_roll7,0.04524081881549786
pm10,0.03403836466425563
co,0.026543286023806536
pm25_lag3,0.02122884048609423
pm25_roll30,0.019931040570393573
pm25_lag7,0.018248337495106844
no2,0.013421981452949101
month,0.004380071913628597
is_dry_season,0.003353189734697772
day_of_week,0.003248804512696061
year,0.0018333936539366915
loc_Bhunya,0.0008763961492487497
loc_Ngwenya,0.00048424080613100015
loc_Buhleni,0.00038690492129278293
loc_Simunye,0.00028815443522151155
loc_Matsapha,0.0002790021501035557
loc_Big Bend,0.00010404276752460095
loc_Mbabane,0.0001029405130368571
loc_Manzini,8.764836018899126e-05
loc_Mhlume,8.463128959130475e-05
loc_Nhlangano,2.0120191263286513e-05
loc_Siteki,2.280425346238475e-07
